ID,Comp,Tbreak,YS at Tbreak,Ys at 600C,Ys at 800C,,Al,Cr,Mn,Fe,Co,Ni,Cu,Ta,Ti,V,Zr,Nb,Mo,Zn,W,Sn,Nd,Hf,Si,VEC,ElectDiff,Atomic Size Diff,Mixing Enthalpy,Mixing Entropy,AVG Shear Modulus,AVG Bulk Modulus,AVG Possion Ratio,Itinerate Electron,Cohesive Energy,Gamma,Local Size Mismatch,Local Shear Modulus Mismatch,Local Electronegativity Mismatch,Avg Melting Pt,Assigned Point,Criteria Satisfied,Temp Range,Comment,Cat,
39,AlMo0.5NbTa0.5TiZr,1195.777862,1599.696295,1767.701355,1661.632906,,0.2,0,0,0,0,0,0,0.1,0.2,0,0.2,0.2,0.1,0,0,0,0,0,0,4.5,0.217614338,4.896373647,-16.84,14.53343194,60,133,0.351,4.6,5.219,1.189637654,-0.002598,-7.76,-0.0454,2251.05,10793.95563,4,4,Only 3 Dt Pt,1,1
68,CrMoTaTi,1619.778187,939.611098,1211.913967,1132.065778,-0.065886021,0,0.25,0,0,0,0,0,0.25,0.25,0,0,0,0.25,0,0,0,0,0,0,5.25,0.263581107,5.888627877,-5.5,11.52565132,85.75,175,0.305,5.5,6.095,1.181530792,-0.01948125,14.3125,-0.09625,2713.4,10076.27807,4,5,"Has enough Dt Pt, but has high solvus temp, the original paper suggest shouldn't be used",1,2
40,AlMo0.5NbTa0.5TiZr0.5,1459.02751,875.5085324,1077.148555,1003.587231,-0.068292645,0.222222222,0,0,0,0,0,0,0.111111111,0.222222222,0,0.111111111,0.222222222,0.111111111,0,0,0,0,0,0,4.555555551,0.211607603,4.094865118,-16.69135799,14.42584136,62.99999994,137.3333332,0.352222222,4.666666662,5.288888884,1.189637654,0.000491358,-8.592592575,-0.053333333,2264.705553,9338.604302,4,5,Good,1,3
74,CrTaVW,1688.597966,835.2891346,1523.483254,1314.726311,,0,0.25,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0.25,0,0,0,0,5.5,0.335959447,5.562046015,-4.25,11.52565132,108,207.5,0.3,6,6.5925,1.182755511,-0.01535625,-3.25,-0.139375,2973.65,9206.200177,4,5,Only 3 Dt Pt,1,4
92,HfMoTaTiZr,1339.465981,849.4773868,1132.474499,1001.121664,-0.115987455,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0.2,0,0,0,0,0.2,0,4.6,0.311229819,6.209384292,-1.92,13.3808668,65.2,148.8,0.344,4.4,5.65,1.187855316,-0.01544,7.2,-0.0176,2606.92,8984.762462,4,5,Good,1,5
90,HfMoNbTaZr,1451.040841,835.9143911,1128.383043,1017.126684,-0.098598042,0,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0.2,0,0,0,0,0.2,0,5,0.311152696,5.978643974,-1.12,13.3808668,77.4,160.8,0.352,4.8,6.122,1.187516602,-0.00184,6.32,-0.0344,2768.72,8974.270361,4,5,Good,1,6
100,MoNbSi0.75TaW,1689.39618,805.9668942,1559.793643,1326.842591,,0,0,0,0,0,0,0,0.210526316,0,0,0,0.210526316,0.210526316,0,0.210526316,0,0,0,0.157894737,5.473684216,0.333755596,8.687810462,-28.27700837,13.33206521,104.6315791,207.2105265,0.324210527,5.894736848,6.514210533,1.33364759,0.056487535,2.91412743,-0.138504155,2983.126319,8943.098228,4,5,Only 3 Dt Pt,1,7
89,HfMoNbTaTiZr,1375.017297,816.9811402,1107.447625,981.0498581,-0.114134307,0,0,0,0,0,0,0,0.166666667,0.166666667,0,0.166666667,0.166666667,0.166666667,0,0,0,0,0.166666667,0,4.833333343,0.28439507,5.731763804,-0.888888892,14.89668824,71.83333348,152.3333336,0.353333334,4.666666676,5.895000012,1.188125452,-0.008583333,3.972222238,-0.031388889,2630.791672,8727.847559,4,5,Good,1,8
47,AlNbTiVZr0.1,1279.315465,784.7658364,965.1468076,871.6959733,-0.096825513,0.243902439,0,0,0,0,0,0,0,0.243902439,0.243902439,0.024390244,0.243902439,0,0,0,0,0,0,0,4.487804878,0.052617394,3.726093949,-16.51397977,12.19786503,52.51219512,128.1463415,0.364390244,4.487804878,5.29,1.211295897,-0.002422963,-14.0630577,-0.000475907,2022.784146,8342.207993,4,5,"4 Dt Pt, Low Melt, Consider",1,9
48,AlNbTiVZr0.25,1413.781294,739.5357463,1001.312763,895.1493822,-0.106024196,0.235294118,0,0,0,0,0,0,0,0.235294118,0.235294118,0.058823529,0.235294118,0,0,0,0,0,0,0,4.47058824,0.070332871,4.324577018,-16.83044986,12.70766391,51.82352947,126.9411766,0.363529412,4.47058824,5.265294123,1.211295897,-0.0060609,-13.6193772,0.003875432,2026.502943,8069.603011,4,5,"4 Dt Pt, Low Melt, Consider",1,10
53,C0.25Hf0.25NbTaW0.5,1822.814201,693.1208248,1031.702042,948.8110531,-0.080343922,0,0,0,0,0,0,0,0.363636364,0,0,0,0.363636364,0,0,0.181818182,0,0,0.090909091,0,5.45454546,0.33358558,3.736025085,-3.438016536,10.50602295,116.8181819,200.9090911,0.353636364,5.818181824,6.562727279,1.1734311,-0.000446281,0.413223141,-0.086280992,3195.409094,8060.901624,4,5,"4 Dt Pt, but not good fit",1,11
67,CrMoNbV,1227.699575,1062.510957,1221.876343,1129.287661,-0.07577582,0,0.25,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0,0,0,0,0,0,5.75,0.230475053,5.544761499,-4,11.52565132,80.25,180,0.3225,5.75,6.83,1.182876058,-0.02885625,5.3125,-0.091875,2570.65,7602.76532,4,4,Good,1,12
104,MoNbTaVW,1734.316466,643.8511623,944.5216726,864.1064756,-0.085138541,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0,0.2,0,0,0,0,5.6,0.343394817,3.64567387,-4.64,13.3808668,97.2,214,0.34,6,6.686,1.096801884,0.0124,-8.56,-0.18,3017.55,7528.976927,4,5,Good,1,13
72,CrTaTi0.17VW,1651.769266,644.4572693,1248.449226,1053.463392,,0,0.239808153,0,0,0,0,0,0.239808153,0.040767386,0.239808153,0,0,0,0,0.239808153,0,0,0,0,5.43884891,0.332660242,5.54378722,-4.458016303,12.47228105,105.3908871,203.5251795,0.302446043,5.918465216,6.517793752,1.181857738,-0.014148278,-2.618912054,-0.136357101,2931.557668,7451.88469,4,5,Only 3 Dt Pt,1,14
88,HfMoNbTaTiWZr,1570.665478,652.0480481,1094.556748,943.5160675,-0.137992553,0,0,0,0,0,0,0,0.142857143,0.142857143,0,0.142857143,0.142857143,0.142857143,0,0.142857143,0,0,0.142857143,0,5.000000005,0.381345631,6.001545014,-3.591836742,16.17829699,84.42857151,174.857143,0.342857143,5.000000005,6.178571435,1.18904589,-0.001428571,-4.000000008,-0.076326531,2782.84286,7439.097911,4,5,Good,1,15
87,HfMoNbTaTi,1577.340276,644.5645299,968.213341,862.5715452,-0.109110039,0,0,0,0,0,0,0,0.2,0.2,0,0,0.2,0.2,0,0,0,0,0.2,0,5,0.288166618,5.050398253,-1.44,13.3808668,79.6,164,0.356,4.8,6.156,1.181160109,-0.01544,7.2,-0.0176,2731.32,7378.421045,4,5,Good,1,16
15,Al0.4Hf0.6NbTaTiZr,925.4139826,1610.387852,1628.448928,765.5633867,,0.08,0,0,0,0,0,0,0.2,0.2,0,0.2,0.2,0,0,0,0,0,0.12,0,4.52,0.115838508,4.701925787,-6.3296,14.4999506,70.28,134.08,0.3588,4.48,5.4128,1.129291509,-0.02173088,-0.2944,0.025376,2473.732,7366.96539,4,3,Lack of Dt Pt,1,17
111,MoNbVTa0.5,1616.316519,616.6004512,978.046685,863.8751672,-0.116734221,0,0,0,0,0,0,0,0.142857143,0,0.285714286,0,0.285714286,0.285714286,0,0,0,0,0,0,5.571428577,0.259772271,3.890754763,-3.265306129,11.23873213,76.00000008,188.5714288,0.357142858,5.71428572,6.531428578,1.096595648,0.005102041,1.877551024,-0.122857143,2746.007146,7165.72058,4,5,Good,1,18
63,Cr24.75Mo24.75Nb24.75V24.75C1,1746.972849,596.5839962,1028.768735,908.1626481,-0.117233429,0,0.25,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0,0,0,0,0,0,5.75,0.230475053,5.544761499,-4,11.52565132,80.25,180,0.3225,5.75,6.83,1.182876058,-0.02885625,5.3125,-0.091875,2570.65,7116.228814,4,5,Good,1,19
85,HfMo0.5NbSi0.7TiV0.5,1317.515118,638.5722737,1080.697658,852.9001473,-0.210787457,0,0,0,0,0,0,0,0,0.212765957,0.106382979,0,0.212765957,0.106382979,0,0,0,0,0.212765957,0.14893617,4.744680847,0.256563457,10.46600274,-31.11815293,14.53422246,65.80851056,139.2127659,0.354468085,4.319148933,5.973617016,1.463585544,0.021584427,-3.499320957,-0.025486646,2322.946806,7064.665581,4,5,4 Pt,1,20
113,MoTaVW,1546.524691,598.8078808,956.8147524,832.5062608,-0.129919079,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0.25,0,0.25,0,0,0,0,5.5,0.357587402,3.296693728,-3.5,11.52565132,95.25,225,0.325,6,6.5775,1.097259672,0.01525,-9.1875,-0.194375,3084.4,6935.795618,4,5,Good,1,21
109,MoNbVTa,1670.448563,582.7407451,927.2153091,825.2640986,-0.109954192,0,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0.25,0,0,0,0,0,0,5.5,0.257135665,3.902262967,-3.25,11.52565132,81.5,190,0.355,5.75,6.3875,1.096595648,0.0106875,6.25,-0.121875,2848.15,6915.115269,4,5,Good,1,22
66,CrMoNbTi,1149.734745,943.1123042,1091.06455,982.0012408,-0.099960455,0,0.25,0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0,0,0,0,0,5.5,0.246170673,5.888627877,-5.5,11.52565132,82,167.5,0.32,5.5,6.53,1.181530792,-0.02323125,5.75,-0.0975,2510.15,6808.408571,4,4,Good,1,23
112,MoNbVTa0.7,1692.719405,560.4466594,949.3153952,834.7721323,-0.120658807,0,0,0,0,0,0,0,0.189189189,0,0.27027027,0,0.27027027,0.27027027,0,0,0,0,0,0,5.540540535,0.259114354,3.905403765,-3.272461644,11.43849983,78.3783783,189.189189,0.356216216,5.729729724,6.469189183,1.096595648,0.007735573,3.929875814,-0.12293645,2790.177024,6736.739341,4,5,Good,1,24
65,CrMo0.5NbTa0.5TiZr,1171.511451,923.7775787,1113.398199,982.484178,-0.117580593,0,0.2,0,0,0,0,0,0.1,0.2,0,0.2,0.2,0.1,0,0,0,0,0,0,5.1,0.219809008,7.986019711,-4.92,14.53343194,77.8,149.8,0.327,5.2,5.971,1.30435044,-0.031814,6.48,-0.0374,2500.45,6714.176924,4,4,Good,1,25
49,AlNbTiVZr0.5,1390.796128,587.2264998,933.5449263,780.4969126,-0.163942848,0.222222222,0,0,0,0,0,0,0,0.222222222,0.222222222,0.111111111,0.222222222,0,0,0,0,0,0,0,4.44444444,0.089083121,5.010555569,-17.18518515,13.14521343,50.77777773,125.111111,0.362222222,4.44444444,5.227777773,1.211295897,-0.011064198,-12.93827158,0.009876543,2032.149998,6675.834626,4,5,4 Dt Pt,2,26
35,AlCrMoNbTi,1196.981173,911.7101765,964.8894657,931.705545,-0.034391422,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0,0,0,5,0.226238812,5.469783374,-13.6,13.3808668,70.8,149.2,0.322,5,5.902,1.180867888,-0.00588,-5.28,-0.0832,2249.35,6667.242231,4,4,Good,2,27
108,MoNbV,1528.810603,567.1639109,914.7364422,790.6583546,-0.135643538,0,0,0,0,0,0,0,0,0,0.333333333,0,0.333333333,0.333333333,0,0,0,0,0,0,5.666666661,0.257207223,3.747451602,-3.111111105,9.133862567,68.6666666,186.6666665,0.36,5.666666661,6.723333327,1.097134485,-0.005111111,-5.999999988,-0.117777778,2609.816664,6633.2858,4,5,4 Dt Pt,2,28
9,Al0.2NbTaTiV,1123.781048,878.063367,1098.39244,918.7861786,-0.163517387,0.047619048,0,0,0,0,0,0,0.238095238,0.238095238,0.238095238,0,0.238095238,0,0,0,0,0,0,0,4.904761904,0.050282648,3.375797416,-3.990929734,12.56847688,74.09523808,156,0.365714286,5.142857142,5.689999999,1.096049177,0.005519274,0.657596352,-0.020181406,2542.578571,6392.16125,4,4,,2,29
110,MoNbVTa0.3,1692.236658,519.2168865,927.6576566,805.1143107,-0.132099751,0,0,0,0,0,0,0,0.090909091,0,0.303030303,0,0.303030303,0.303030303,0,0,0,0,0,0,5.606060606,0.259644102,3.856292405,-3.232323232,10.83625594,73.33333334,187.8787879,0.358181818,5.696969697,6.601212121,1.096595648,0.001753903,-0.716253439,-0.121854913,2696.483333,6365.188636,4,5,,2,30
20,Al0.667CrNb0.667Ti0.667V0.667,952.2398112,1329.918257,1370.066563,577.6781158,-0.578357628,0.181842966,0.272628135,0,0,0,0,0,0,0.181842966,0.181842966,0,0.181842966,0,0,0,0,0,0,0,4.908942198,0.040695447,6.092862003,-13.75323762,13.25423592,69.90294432,137.4514721,0.322742639,4.908942198,5.809817333,1.181138601,-0.014708969,-4.135093177,0.00594807,2138.19798,6271.912841,4,3,,2,31
33,AlCr1.5NbTiV,952.2761632,1329.774913,1369.954194,577.7218363,-0.578291129,0.181818182,0.272727273,0,0,0,0,0,0,0.181818182,0.181818182,0,0.181818182,0,0,0,0,0,0,0,4.909090914,0.040696417,6.093392081,-13.75206614,13.25390194,69.90909098,137.4545456,0.322727273,4.909090914,5.810000006,1.181138601,-0.014712397,-4.132231413,0.005950413,2138.240911,6271.375816,4,3,,2,32
36,AlCrMoNbTiB,1226.189419,835.1047064,930.0456782,875.0314728,-0.059152154,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0,0,0,5,0.226238812,5.469783374,-13.6,13.3808668,70.8,149.2,0.322,5,5.902,1.180867888,-0.00588,-5.28,-0.0832,2249.35,6236.817658,4,4,,2,33
98,HfNbTiVSi0.5,1121.337346,849.8371944,987.7420474,875.07948,-0.114060718,0,0,0,0,0,0,0,0,0.222222222,0.222222222,0,0.222222222,0,0,0,0,0,0.222222222,0.111111111,4.666666662,0.171464282,9.701425006,-24.19753082,13.14521343,62.88888883,133.2222221,0.364444444,4.222222218,5.907777772,1.462942855,0.004444444,-6.592592579,-0.000740741,2271.988887,6220.360512,4,4,,2,34
37,AlCrMoTi,1196.671023,832.9097398,983.8832964,887.6472069,-0.097812505,0.25,0.25,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,4.75,0.244783067,5.427180161,-14,11.52565132,62.25,144,0.3025,4.75,5.5975,1.156736604,0.001575,-2.6875,-0.095625,2124.15,6194.129461,4,4,,2,35
18,Al0.5Mo0.5NbTa0.5TiZr,1324.034063,538.1798916,1028.887217,771.9158649,-0.24975658,0.111111111,0,0,0,0,0,0,0.111111111,0.222222222,0,0.222222222,0.222222222,0.111111111,0,0,0,0,0,0,4.666666662,0.229174579,5.079455055,-10.5185185,14.42584136,63.77777771,139.3333332,0.353333333,4.777777773,5.422222217,1.189637654,0.001106173,-5.382716039,-0.059506173,2367.149998,6167.653087,4,5,,2,36
103,MoNbTaTiW,1512.97479,504.0962276,836.7619033,714.2028003,-0.146468311,0,0,0,0,0,0,0,0.2,0.2,0,0,0.2,0.2,0,0.2,0,0,0,0,5.4,0.356561355,2.977639882,-5.28,13.3808668,98.6,204,0.338,5.8,6.446,1.076735765,0.0196,-8,-0.1872,2969.15,6049.840839,4,5,,2,37
60,CoCrFeHf0.6Ni,913.8698575,1272.755039,1290.063955,470.4411442,-0.635335022,0,0.217391304,0,0.217391304,0.217391304,0.217391304,0,0,0,0,0,0,0,0,0,0,0,0.130434783,0,7.695652164,0.196976197,8.938500144,-14.97164462,13.24158918,84.13043469,164.3478259,0.29173913,7.434782598,7.22130434,1.315176859,-0.038973535,8.355387508,0.021172023,2191.999998,6004.890015,4,3,,2,38
83,HfMo0.5NbSi0.3TiV0.5,1143.970131,801.7404338,1003.785412,850.3509173,,0,0,0,0,0,0,0,0,0.23255814,0.11627907,0,0.23255814,0.11627907,0,0,0,0,0.23255814,0.069767442,4.813953498,0.254130827,8.473868286,-16.36560309,14.16547755,65.97674432,142.9534887,0.36139535,4.348837218,6.098604663,1.463585544,-0.004315846,-4.36452138,-0.003082747,2382.104656,5954.412734,4,4,,2,39
70,CrNbTiVZr,971.4859722,1219.570203,1230.723826,690.7461685,,0,0.2,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,5,0.117881296,8.334359749,-4.64,13.3808668,66.8,138.8,0.336,5,5.916,1.305475186,-0.047344,2.48,0.0264,2291.15,5849.766786,4,3,,2,40
59,CoCrFeHf0.5Ni,907.3198324,1197.092473,1200.012779,420.3981015,,0,0.222222222,0,0.222222222,0.222222222,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,7.77777777,0.187129057,8.384886205,-13.53086417,13.14521343,84.55555547,165.5555554,0.29,7.555555548,7.238888882,1.315176859,-0.033955555,8.29629628,0.011851852,2185.02222,5695.689723,4,3,,2,41
84,HfMo0.5NbSi0.5TiV0.5,1247.242348,719.1259059,1029.623162,849.9190009,,0,0,0,0,0,0,0,0,0.222222222,0.111111111,0,0.222222222,0.111111111,0,0,0,0,0.222222222,0.111111111,4.777777773,0.255710098,9.596506729,-24.4444444,14.42584136,65.88888882,140.9999999,0.357777777,4.333333329,6.033333327,1.463585544,0.009802469,-3.90123456,-0.015308642,2351.211109,5561.997783,4,4,,2,42
29,Al28Cr20Nb15Ti27Zr10,1094.808173,743.4019995,1789.898352,810.4814566,,0.28,0.2,0,0,0,0,0,0,0.27,0,0.1,0.15,0,0,0,0,0,0,0,4.42,0.090572844,6.836697212,-22.012,12.85896845,61.21,117.88,0.3256,4.42,5.1914,1.303637986,-0.02236548,-7.3383,0.024822,1977.8,5555.22017,4,4,,2,43
58,CoCrFeHf0.4Ni,962.2754438,1145.418744,1150.007726,540.5496253,,0,0.227272727,0,0.227272727,0.227272727,0.227272727,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,7.863636355,0.175633446,7.712881039,-11.94214875,13.01060934,84.99999991,166.8181816,0.288181818,7.681818173,7.25727272,1.315176859,-0.02843595,8.22314048,0.001652893,2177.727271,5543.950421,4,3,,2,44
46,AlNbTiVZr,972.2010972,1104.151232,1155.078753,550.5698445,,0.2,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,4.4,0.110163515,5.794212312,-17.44,13.3808668,49,122,0.36,4.4,5.164,1.211295897,-0.018128,-11.76,0.0184,2041.75,5388.806024,4,3,,2,45
93,HfNbSi0.5TiV,1019.93233,1088.901844,1145.888751,809.0825339,,0,0,0,0,0,0,0,0,0.222222222,0.222222222,0,0.222222222,0,0,0,0,0,0.222222222,0.111111111,4.666666662,0.171464282,9.701425006,-24.19753082,13.14521343,62.88888883,133.2222221,0.364444444,4.222222218,5.907777772,1.462942855,0.004444444,-6.592592579,-0.000740741,2271.988887,5375.539706,4,3,,2,46
19,Al0.5NbTa0.8Ti1.5V0.2Zr,1008.090416,1054.421003,1194.95922,735.4557225,,0.1,0,0,0,0,0,0,0.16,0.3,0.04,0.2,0.2,0,0,0,0,0,0,0,4.5,0.099721412,4.667694148,-8.6176,13.77790745,64.08,131.8,0.3582,4.66,5.2082,1.211212441,-0.014599,-2.6728,0.008828,2336.05,5225.77443,4,3,,2,47
52,C0.1Hf0.25NbTaW0.5,2436.161189,444.8381725,953.7730618,865.0951588,,0,0,0,0,0,0,0,0.363636364,0,0,0,0.363636364,0,0,0.181818182,0,0,0.090909091,0,5.45454546,0.33358558,3.736025085,-3.438016536,10.50602295,116.8181819,200.9090911,0.353636364,5.818181824,6.562727279,1.1734311,-0.000446281,0.413223141,-0.086280992,3195.409094,5105.190224,3,5,,2,48
32,AlCr0.5NbTiV,911.8729801,991.1215858,1008.286463,339.7968682,,0.222222222,0.111111111,0,0,0,0,0,0,0.222222222,0.222222222,0,0.222222222,0,0,0,0,0,0,0,4.666666662,0.037646832,4.825507689,-15.40740738,13.14521343,59.88888883,132.4444443,0.347777777,4.666666662,5.512222217,1.181138601,-0.007158025,-9.62962961,0.000987654,2068.261109,4876.359323,4,3,,2,49
38,AlCrNbTiV,984.1497651,935.3772907,1015.14064,507.1107833,,0.2,0.2,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,4.8,0.039698866,5.630746346,-14.56,13.3808668,65.4,135.2,0.334,4.8,5.676,1.181138601,-0.0118,-6.4,0.004,2106.75,4725.658928,4,3,,2,50
10,Al0.333Nb0.667Ta0.533TiV0.133Zr0.667,1035.76529,904.2910165,1081.529947,735.4627107,,0.099909991,0,0,0,0,0,0,0.159915992,0.300030003,0.03990399,0.200120012,0.200120012,0,0,0,0,0,0,0,4.500150015,0.099735671,4.667718905,-8.609016434,13.77584496,64.08190822,131.7959796,0.358205821,4.660066007,5.208418842,1.211212441,-0.014600303,-2.677251869,0.008816813,2336.076193,4652.929356,4,3,,3,51
73,CrTaTi0.3VW,1670.908809,474.6392947,1110.915105,897.6552929,,0,0.23255814,0,0,0,0,0,0.23255814,0.069767442,0.23255814,0,0,0,0,0.23255814,0,0,0,0,5.395348848,0.33010561,5.525285507,-4.586262863,12.82528553,103.5348839,200.6976748,0.304186047,5.860465128,6.464651176,1.181857738,-0.013319091,-2.195781512,-0.134072472,2901.615122,4518.744577,3,5,,3,52
102,MoNbTaTiVW,2191.573217,381.8305389,980.1763367,849.5749534,,0,0,0,0,0,0,0,0.166666667,0.166666667,0.166666667,0,0.166666667,0.166666667,0,0.166666667,0,0,0,0,5.333333344,0.334086649,3.417566645,-4.222222239,14.89668824,88.33333351,196.6666671,0.343333334,5.666666678,6.365000013,1.096647478,0.014611111,-9.111111148,-0.170277778,2838.150006,4482.55645,3,5,,3,53
43,AlNbTa0.5TiZr0.5,1414.917129,467.5322051,782.6982334,647.1501241,,0.25,0,0,0,0,0,0,0.125,0.25,0,0.125,0.25,0,0,0,0,0,0,0,4.375,0.088520831,3.659877526,-18.5625,12.96635773,62.875,125.75,0.3575,4.5,5.06375,1.130007109,-0.01186875,-10.734375,0.00984375,2185.775,4220.110359,3,5,,3,54
106,MoNbTi,1412.820485,450.788684,693.8399496,591.3858647,,0,0,0,0,0,0,0,0,0.333333333,0,0,0.333333333,0.333333333,0,0,0,0,0,0,5.333333328,0.279205221,2.860264059,-3.555555548,9.133862567,70.99999993,169.9999998,0.356666666,5.333333328,6.323333327,1.076715739,0.014888889,-4.444444436,-0.137777778,2529.149997,4117.552589,3,5,,3,55
91,HfMoNbTiZr,1250.247828,696.9108029,974.0422194,815.6293891,,0,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0,0,0,0.2,0,4.8,0.309554519,6.209384292,-1.6,13.3808668,62.2,142.8,0.356,4.4,5.998,1.187855316,-0.00664,-5.84,-0.028,2444.32,4037.89104,3,4,,3,56
105,MoNbTaW,1813.558828,365.0395813,699.0283355,608.8320518,,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0.25,0,0.25,0,0,0,0,5.75,0.363696302,3.295786493,-6.5,11.52565132,112.25,227.5,0.3325,6.25,6.8675,1.076812136,0.02275,-4.9375,-0.19625,3226.15,4003.796315,3,5,,3,57
41,AlMoNbTi,1381.731668,418.0208988,629.8620323,536.1037315,,0.25,0,0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0,0,0,0,0,4.75,0.251134924,2.507667837,-15.25,11.52565132,59.75,146.5,0.35,4.75,5.59,1.0766348,0.01100625,-10.9375,-0.106875,2198.4,3889.85706,3,5,,3,58
42,AlNb1.5Ta0.5Ti1.5Zr0.5,1201.524257,663.0335912,842.2187422,728.079518,,0.2,0,0,0,0,0,0,0.1,0.3,0,0.1,0.3,0,0,0,0,0,0,0,4.5,0.081123363,3.349801387,-15.12,12.51080979,65.2,128.6,0.362,4.6,5.239,1.130007109,-0.009628,-11.56,0.0029,2217.75,3853.658622,3,4,,3,59
22,Al0.667NbTa0.333TiZr0.333,1201.564119,663.0143467,842.2187422,728.079518,,0.200120012,0,0,0,0,0,0,0.099909991,0.300030003,0,0.099909991,0.300030003,0,0,0,0,0,0,0,4.499849985,0.081099468,3.348673956,-15.12710263,12.5095691,65.19381938,128.5910591,0.3620012,4.599759976,5.238865887,1.130007109,-0.009625957,-11.56685137,0.002901678,2217.523237,3853.621506,3,4,,3,60
123,NbTaTiW,1383.163156,408.6983005,617.658872,525.3387908,,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0,0,0.25,0,0,0,0,5.25,0.3539774,2.540421922,-4.5,11.52565132,107.25,197.5,0.345,5.75,6.285,1.069786232,0.0148125,-11.3125,-0.165,2987.4,3835.352959,3,5,,3,61
86,HfMo0.5NbTiV0.5,1076.820728,639.5566549,763.7702954,641.6881188,,0,0,0,0,0,0,0,0,0.25,0.125,0,0.25,0.125,0,0,0,0,0.25,0,4.875,0.249896854,5.909200929,-0.875,12.96635773,66.125,146.25,0.3675,4.375,6.20875,1.203821126,-0.031078125,-5.203125,0.02015625,2434.2375,3635.047348,3,4,,3,62
27,Al20Mo10Nb20Ti30V20,1090.426415,615.1190084,736.7282439,624.0776667,,0.2,0,0,0,0,0,0,0,0.3,0.2,0,0.2,0.1,0,0,0,0,0,0,4.6,0.17471119,3.097876459,-14.16,12.9458383,53.2,137.2,0.359,4.6,5.431,1.096619629,0.006302,-11.72,-0.0554,2099.85,3550.902448,3,4,,3,63
